code,longitude,latitude,elevation,channels
CABS,-85.3434,10.2362,35,HHE_HHN_HHZ
CALV,-83.9332,9.7417,2052,HHE_HHN_HHZ
CAO2,-85.107,9.688,179,HHE_HHN_HHZ
CCOL,-82.9734,8.4075,89,HHE_HHN_HHZ
CDITO,-82.8727,8.5732,118,HHE_HHN_HHZ
CDM,-83.7637,9.5537,3494,HHE_HHN_HHZ
CNKC,-82.9782,9.5921,134,HHE_HHN_HHZ
COVE,-84.4019,10.7195,115,HHE_HHN_HHZ
CPMI,-84.3815,10.2821,1718.4,HHE_HHN_HHZ
CTCR,-82.7593,8.8961,1620,HHE_HHN_HHZ
DMCL,-83.8354,9.2847,900,HHE_HHN_HHZ
DUNO,-85.4937,10.0791,174,HHE_HHN_HHZ
HAYA,-83.8428,9.9801,3245,HHE_HHN_HHZ
HDC3,-84.1114,10.0021,1175,HHE_HHN_HHZ
HZTE,-85.5954,10.7137,194,HHE_HHN_HHZ
ISCA,-83.8863,8.7091,96,HHE_HHN_HHZ
JACO,-84.6595,9.6624,85,HHE_HHN_HHZ
LEPA,-85.0312,9.9453,17,HHE_HHN_HHZ
MRVA,-83.4425,9.824,1202,HHE_HHN_HHZ
OCHAL,-83.6456,9.0976,137,HHE_HHN_HHZ
OCM,-83.9623,9.8941,1607,HHE_HHN_HHZ
ORTG,-85.459,10.3623,760,HHE_HHN_HHZ
PBUR,-82.9088,8.0743,200,HHE_HHN_HHZ
PEZE,-83.6775,9.3826,807,HHE_HHN_HHZ
PIRO,-83.3364,8.4041,40,HHE_HHN_HHZ
PJIM,-83.3082,8.501,59,HHE_HHN_HHZ
PNE2,-85.8289,10.1951,40,HHE_HHN_HHZ
PNPB,-83.2284,8.6844,110,HHE_HHN_HHZ
POTG,-83.1189,9.0525,674,HHE_HHN_HHZ
PUJE,-85.2725,10.1139,42,HHE_HHN_HHZ
RIFO,-83.9228,10.3172,139,HHE_HHN_HHZ
RIMA,-83.8636,9.7666,1665,HHE_HHN_HHZ
RIOS,-83.5143,8.7005,81,HHE_HHN_HHZ
SAJU,-85.7105,10.0673,90,HHE_HHN_HHZ
SIXA,-82.633,9.528,490,HHE_HHN_HHZ
SRBA,-83.3601,9.2321,974,HHE_HHN_HHZ
TBLN,-83.9993,9.8237,1596,HHE_HHN_HHZ
TIGR,-83.2969,9.0284,580,HHE_HHN_HHZ
VACR,-84.675,10.472,370,HHE_HHN_HHZ
VAVL,-84.7091,10.4373,749,HHE_HHN_HHZ
VEST,-83.0425,9.7463,118,HHE_HHN_HHZ
VICA,-83.8446,9.9845,3358,HHE_HHN_HHZ
VIMO,-83.9432,10.0242,1754,HHE_HHN_HHZ
VIRE,-83.8975,9.9668,2971,HHE_HHN_HHZ
VISG,-83.849,10.017,2324,HHE_HHN_HHZ
VMAR,-85.1205,10.8125,580,HHE_HHN_HHZ
VOPI,-85.424,10.994,700,HHE_HHN_HHZ
VPCR,-84.226,10.195,2470,HHE_HHN_HHZ
VPEM,-84.2382,10.1842,2556,HHE_HHN_HHZ
VPLC,-84.2283,10.165,2434,HHE_HHN_HHZ
VPTE,-84.1985,10.1718,2109,HHE_HHN_HHZ
VPVF,-84.2297,10.2045,2431,HHE_HHN_HHZ
VRBA,-85.326,10.8664,732,HHE_HHN_HHZ
VRCR,-85.34355,10.8237,1757,HHE_HHN_HHZ
VRGA,-85.3592,10.8755,713,HHE_HHN_HHZ
VRLE,-85.3652,10.7883,921,HHE_HHN_HHZ
VRNZ,-85.3879,10.8554,903,HHE_HHN_HHZ
VTCE,-83.7568,10.0246,3178,HHE_HHN_HHZ
VTCG,-83.7586,10.0147,3136,HHE_HHN_HHZ
VTCV,-83.7267,9.9831,1664,HHE_HHN_HHZ
VTLO,-83.727,10.0436,2406,HHE_HHN_HHZ
VTRT,-83.7927,10.002,2709,HHE_HHN_HHZ
VTUN,-83.7635,10.0226,3239,HHE_HHN_HHZ
LAFE,-84.9603,9.8071,77.8,HHE_HHN_HHZ
QPSB,-84.1239,9.3918,65.0,HHE_HHN_HHZ
MANS,-85.3812,10.0948,108.0,HHE_HHN_HHZ
CPAN,-83.8660,9.871,2198.0,HHE_HHN_HHZ
PEDER,-84.3193,9.8107,762.0,HHE_HHN_HHZ
GRZA,-85.635603,9.915496,39.0,HHE_HHN_HHZ
